# planar reference radiance, ABSOLUTE: per unit emitted power.
# NOT divided by its own peak or its own 0 deg -- the overlay divides
# it by THIS design's 0 deg value, so the dashed line's height is real.
# lee 0.4313096422541074
# identity abs1|green|onaxis|microcavity|0.53|2.24|2.24|0.795|50|4|cell_center
# theta_deg  radiance
0.000000000000000000e+00 2.425979870017400784e-05
5.000000000000000000e-01 2.433333593791954050e-05
1.000000000000000000e+00 2.427935239395453794e-05
1.500000000000000000e+00 2.429139640682896059e-05
2.000000000000000000e+00 2.427916103477613659e-05
2.500000000000000000e+00 2.424595105439577544e-05
3.000000000000000000e+00 2.422577112675737099e-05
3.500000000000000000e+00 2.412824855229330000e-05
4.000000000000000000e+00 2.421345524814999577e-05
4.500000000000000000e+00 2.418070171516208396e-05
5.000000000000000000e+00 2.417081282555476860e-05
5.500000000000000000e+00 2.414305944659818630e-05
6.000000000000000000e+00 2.413715770203468515e-05
6.500000000000000000e+00 2.417877005831835487e-05
7.000000000000000000e+00 2.417301419317729054e-05
7.500000000000000000e+00 2.418227009835357809e-05
8.000000000000000000e+00 2.418865568999472400e-05
8.500000000000000000e+00 2.431503571143826562e-05
9.000000000000000000e+00 2.438573094565810740e-05
9.500000000000000000e+00 2.447442175988810524e-05
1.000000000000000000e+01 2.441355243227573098e-05
1.050000000000000000e+01 2.459778515877303185e-05
1.100000000000000000e+01 2.468480306181085316e-05
1.150000000000000000e+01 2.478830565814742047e-05
1.200000000000000000e+01 2.469437054918857330e-05
1.250000000000000000e+01 2.478412314586942597e-05
1.300000000000000000e+01 2.485366606967361587e-05
1.350000000000000000e+01 2.494573114861566314e-05
1.400000000000000000e+01 2.484563024315411626e-05
1.450000000000000000e+01 2.479339609482252076e-05
1.500000000000000000e+01 2.494986493027943132e-05
1.550000000000000000e+01 2.487870532593010239e-05
1.600000000000000000e+01 2.488664549125565979e-05
1.650000000000000000e+01 2.475034743985442568e-05
1.700000000000000000e+01 2.487034863064379093e-05
1.750000000000000000e+01 2.497642588110864429e-05
1.800000000000000000e+01 2.493409857747605208e-05
1.850000000000000000e+01 2.481265336018997154e-05
1.900000000000000000e+01 2.506079464128441523e-05
1.950000000000000000e+01 2.506716885834037151e-05
2.000000000000000000e+01 2.507861435498132588e-05
2.050000000000000000e+01 2.497757059720533382e-05
2.100000000000000000e+01 2.507930726195103561e-05
2.150000000000000000e+01 2.512428883367903899e-05
2.200000000000000000e+01 2.501149641687345346e-05
2.250000000000000000e+01 2.487664663660122923e-05
2.300000000000000000e+01 2.492340137250648123e-05
2.350000000000000000e+01 2.481669636424887169e-05
2.400000000000000000e+01 2.464902545346541298e-05
2.450000000000000000e+01 2.458540328428194483e-05
2.500000000000000000e+01 2.448248661850223819e-05
2.550000000000000000e+01 2.433838807898934374e-05
2.600000000000000000e+01 2.420288958817215172e-05
2.650000000000000000e+01 2.408038422416487097e-05
2.700000000000000000e+01 2.387828548780718949e-05
2.750000000000000000e+01 2.369723324514621661e-05
2.800000000000000000e+01 2.355535805201586293e-05
2.850000000000000000e+01 2.336019658836156987e-05
2.900000000000000000e+01 2.313646880677354271e-05
2.950000000000000000e+01 2.297749840508997253e-05
3.000000000000000000e+01 2.277281238742125154e-05
3.050000000000000000e+01 2.245138815480148196e-05
3.100000000000000000e+01 2.233143499759784176e-05
3.150000000000000000e+01 2.201383865814064589e-05
3.200000000000000000e+01 2.176542463024440437e-05
3.250000000000000000e+01 2.154233672417331925e-05
3.300000000000000000e+01 2.122624030985640850e-05
3.350000000000000000e+01 2.089844581637607317e-05
3.400000000000000000e+01 2.068040625488588069e-05
3.450000000000000000e+01 2.032100181016337182e-05
3.500000000000000000e+01 2.000481623387154206e-05
3.550000000000000000e+01 1.972996442713498890e-05
3.600000000000000000e+01 1.935178159770262399e-05
3.650000000000000000e+01 1.906055625652676536e-05
3.700000000000000000e+01 1.875138763310238180e-05
3.750000000000000000e+01 1.834085611617660517e-05
3.800000000000000000e+01 1.808116263446456917e-05
3.850000000000000000e+01 1.766189943534546324e-05
3.900000000000000000e+01 1.730684965374194883e-05
3.950000000000000000e+01 1.696970706862439726e-05
4.000000000000000000e+01 1.660750334844960985e-05
4.050000000000000000e+01 1.630892780753450956e-05
4.100000000000000000e+01 1.594177952416421453e-05
4.150000000000000000e+01 1.556475539405676329e-05
4.200000000000000000e+01 1.519130511261480748e-05
4.250000000000000000e+01 1.480016620275991242e-05
4.300000000000000000e+01 1.449308831090101472e-05
4.350000000000000000e+01 1.409329425292619255e-05
4.400000000000000000e+01 1.376656856913021295e-05
4.450000000000000000e+01 1.338676595499961349e-05
4.500000000000000000e+01 1.304320935833192190e-05
4.550000000000000000e+01 1.267343594415120260e-05
4.600000000000000000e+01 1.233644261590937146e-05
4.650000000000000000e+01 1.200485945767400088e-05
4.700000000000000000e+01 1.168456654853891804e-05
4.750000000000000000e+01 1.137721593393389722e-05
4.800000000000000000e+01 1.099559792911474144e-05
4.850000000000000000e+01 1.077967646957290469e-05
4.900000000000000000e+01 1.044194363583991017e-05
4.950000000000000000e+01 1.015232439226193705e-05
5.000000000000000000e+01 9.847534234771044393e-06
5.050000000000000000e+01 9.611069380255114964e-06
5.100000000000000000e+01 9.300800276907124540e-06
5.150000000000000000e+01 9.024423856563495105e-06
5.200000000000000000e+01 8.793862368008866382e-06
5.250000000000000000e+01 8.502690583807731640e-06
5.300000000000000000e+01 8.185005272567247851e-06
5.350000000000000000e+01 7.973190858074766577e-06
5.400000000000000000e+01 7.744493052825742694e-06
5.450000000000000000e+01 7.414606900600958187e-06
5.500000000000000000e+01 7.290019107583465559e-06
5.550000000000000000e+01 6.923947546365671955e-06
5.600000000000000000e+01 6.717200497082331006e-06
5.650000000000000000e+01 6.478313463902291373e-06
5.700000000000000000e+01 6.193859296673604484e-06
5.750000000000000000e+01 5.988284299620487866e-06
5.800000000000000000e+01 5.710294259819778623e-06
5.850000000000000000e+01 5.479256439546256898e-06
5.900000000000000000e+01 5.256736636104369196e-06
5.950000000000000000e+01 5.008549162816991888e-06
6.000000000000000000e+01 4.779874649458916113e-06
6.050000000000000000e+01 4.499751532747367280e-06
6.100000000000000000e+01 4.349026211034496787e-06
6.150000000000000000e+01 4.007565793139560825e-06
6.200000000000000000e+01 3.839720088324275423e-06
6.250000000000000000e+01 3.695311919478413255e-06
6.300000000000000000e+01 3.361063432116919145e-06
6.350000000000000000e+01 3.247721036938426022e-06
6.400000000000000000e+01 2.995407723511830993e-06
6.450000000000000000e+01 2.790267428535687562e-06
6.500000000000000000e+01 2.704772251472150729e-06
6.550000000000000000e+01 2.445124186712821382e-06
6.600000000000000000e+01 2.333714303795466530e-06
6.650000000000000000e+01 2.169912438326725366e-06
6.700000000000000000e+01 2.077805705337679511e-06
6.750000000000000000e+01 1.862809757269208995e-06
6.800000000000000000e+01 1.780655240872507466e-06
6.850000000000000000e+01 1.677347987476972007e-06
6.900000000000000000e+01 1.504446537188435912e-06
6.950000000000000000e+01 1.447560534147044395e-06
7.000000000000000000e+01 1.343573887212359602e-06
7.050000000000000000e+01 1.250252033083825006e-06
7.100000000000000000e+01 1.155336098744616766e-06
7.150000000000000000e+01 1.070354514524961919e-06
7.200000000000000000e+01 1.007512634691590092e-06
7.250000000000000000e+01 9.402105077165019003e-07
7.300000000000000000e+01 8.621092303895593409e-07
7.350000000000000000e+01 8.056589336619541008e-07
7.400000000000000000e+01 7.573795517082586514e-07
7.450000000000000000e+01 6.947353473662660412e-07
7.500000000000000000e+01 6.544692667801521201e-07
7.550000000000000000e+01 6.058274670798715962e-07
7.600000000000000000e+01 5.630318456236154630e-07
7.650000000000000000e+01 5.227187458974929351e-07
7.700000000000000000e+01 4.938256613327567399e-07
7.750000000000000000e+01 4.577130143763757168e-07
7.800000000000000000e+01 4.267021751306953088e-07
7.850000000000000000e+01 3.941782250125633183e-07
7.900000000000000000e+01 3.668499455177704801e-07
7.950000000000000000e+01 3.427425755583191541e-07
8.000000000000000000e+01 3.250099870710037304e-07
8.050000000000000000e+01 2.976493443558787465e-07
8.100000000000000000e+01 2.897520017266217774e-07
8.150000000000000000e+01 2.645717442907890771e-07
8.200000000000000000e+01 2.400397016628341431e-07
8.250000000000000000e+01 2.312173286237842027e-07
8.300000000000000000e+01 2.149797743820921527e-07
8.350000000000000000e+01 2.011940417283748129e-07
8.400000000000000000e+01 1.965397156898071516e-07
8.450000000000000000e+01 1.857407683879281735e-07
8.500000000000000000e+01 1.690346394108392676e-07
8.550000000000000000e+01 1.673183868037241398e-07
8.600000000000000000e+01 1.409171666363127068e-07
8.650000000000000000e+01 1.448342005956982037e-07
8.700000000000000000e+01 1.288956963953809514e-07
8.750000000000000000e+01 1.299710683645347387e-07
8.800000000000000000e+01 1.189710357882411398e-07
8.850000000000000000e+01 1.157487455021886699e-07
8.900000000000000000e+01 1.201726037755853370e-07
8.950000000000000000e+01 0.000000000000000000e+00
9.000000000000000000e+01 1.054663118336660056e-24
